tweet_id	image_id	text_info	text_info_conf	image_info	image_info_conf	text_human	text_human_conf	image_human	image_human_conf	image_damage	image_damage_conf	tweet_text	image_url	image_path
929989361453621249	929989361453621249_0	informative	1.0	informative	0.6513	injured_or_dead_people	1.0	other_relevant_information	0.6513	nan	nan	RT @PressTV: UPDATE: Death toll from Iran’s quake rises to 200 #earthquake https://t.co/DklVc2VwKW	http://pbs.twimg.com/media/DOfT-eRWkAAJ_kB.jpg	data_image/iraq_iran_earthquake/13_11_2017/929989361453621249_0.jpg
929989388863508480	929989388863508480_0	not_informative	0.7535	not_informative	1.0	not_humanitarian	0.7535	not_humanitarian	1.0	nan	nan	RT @CAFOD: We pray for all those affected by the earthquake in Iraq and Iran https://t.co/qja8zQSuQe	http://pbs.twimg.com/media/DOftf6AW0AAzjkE.jpg	data_image/iraq_iran_earthquake/13_11_2017/929989388863508480_0.jpg
929989414826024960	929989414826024960_0	informative	1.0	not_informative	1.0	injured_or_dead_people	1.0	not_humanitarian	1.0	nan	nan	RT @ReutersWorld: JUST IN: Death toll reaches 328 in Iran earthquake - ISNA news agency https://t.co/FgRLptfk9l	http://pbs.twimg.com/media/DOf76fBUMAAqpv_.jpg	data_image/iraq_iran_earthquake/13_11_2017/929989414826024960_0.jpg
929989443913691136	929989443913691136_0	informative	1.0	informative	0.6031	other_relevant_information	1.0	injured_or_dead_people	0.6031	nan	nan	RT @LaylaAlhussein: A magnitude 7.2 earthquake struck northern Iraq in Erbil, Iraq, on November 12, 2017. #Iraq https://t.co/KSPmuNDPsk	http://pbs.twimg.com/media/DOeoQ75XUAEpZwN.jpg	data_image/iraq_iran_earthquake/13_11_2017/929989443913691136_0.jpg
929989443913691136	929989443913691136_1	informative	1.0	informative	1.0	other_relevant_information	1.0	rescue_volunteering_or_donation_effort	1.0	nan	nan	RT @LaylaAlhussein: A magnitude 7.2 earthquake struck northern Iraq in Erbil, Iraq, on November 12, 2017. #Iraq https://t.co/KSPmuNDPsk	http://pbs.twimg.com/media/DOeoQ75WAAIsov_.jpg	data_image/iraq_iran_earthquake/13_11_2017/929989443913691136_1.jpg
929989443913691136	929989443913691136_2	informative	1.0	informative	0.7031	other_relevant_information	1.0	affected_individuals	0.7031	nan	nan	RT @LaylaAlhussein: A magnitude 7.2 earthquake struck northern Iraq in Erbil, Iraq, on November 12, 2017. #Iraq https://t.co/KSPmuNDPsk	http://pbs.twimg.com/media/DOeoQ74WkAAD4sq.jpg	data_image/iraq_iran_earthquake/13_11_2017/929989443913691136_2.jpg
929989443913691136	929989443913691136_3	informative	1.0	informative	0.6365	other_relevant_information	1.0	injured_or_dead_people	0.6365	nan	nan	RT @LaylaAlhussein: A magnitude 7.2 earthquake struck northern Iraq in Erbil, Iraq, on November 12, 2017. #Iraq https://t.co/KSPmuNDPsk	http://pbs.twimg.com/media/DOeoQ-4XcAAN3Uv.jpg	data_image/iraq_iran_earthquake/13_11_2017/929989443913691136_3.jpg
929989459453595648	929989459453595648_0	informative	0.6642	informative	0.6735	other_relevant_information	0.6642	other_relevant_information	0.6735	nan	nan	Video: 7.2-magnitude earthquake jolts #Iran-Iraq border area; structural damage reported https://t.co/Jeh1EXMiyq https://t.co/EmvW58Y6u4	http://pbs.twimg.com/media/DOdqBHvVwAAsE-V.jpg	data_image/iraq_iran_earthquake/13_11_2017/929989459453595648_0.jpg
929989477828911104	929989477828911104_0	informative	1.0	not_informative	1.0	injured_or_dead_people	1.0	not_humanitarian	1.0	nan	nan	#BREAKING: Iran earthquake toll rises to 328 dead and over 2,500 injured, says official https://t.co/SnMGA7VGnO	http://pbs.twimg.com/media/DOf7uh3UMAAeiGZ.jpg	data_image/iraq_iran_earthquake/13_11_2017/929989477828911104_0.jpg
929989514562625538	929989514562625538_0	informative	1.0	informative	0.6788	injured_or_dead_people	1.0	injured_or_dead_people	0.6788	nan	nan	RT @RT_com: Iran-Iraq border earthquake latest: - At least 211 killed - Over 2,500 injured https://t.co/w0n8LBQsE6 https://t.co/n4SlLDYuzs	http://pbs.twimg.com/media/DOfn60SW0AAjp2N.jpg	data_image/iraq_iran_earthquake/13_11_2017/929989514562625538_0.jpg
